MovieID,Rating_size,Rating_mean,Rating_max,Title,Year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
2769,409,3.108801956,5,"Yards, The",2000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3177,709,2.804654443,5,Next Friday,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190,605,2.211570248,5,Supernova,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3225,527,2.721062619,5,Down to You,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3228,14,2.107142857,5,Wirey Spindell,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3239,124,2.237903226,5,Isn't She Great?,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3273,3108,2.509330759,5,Scream 3,2000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3275,2986,3.94557937,5,"Boondock Saints, The",2000,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3276,188,3.013297872,5,Gun Shy,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,2693,2.890085407,5,"Beach, The",2000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3286,446,2.193946188,5,Snow Day,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,491,2.887983707,5,"Tigger Movie, The",2000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3291,14,1.75,3,Trois,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3298,2540,3.478346457,5,Boiler Room,2000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3299,529,2.327977316,5,Hanging Up,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3300,3616,3.337665929,5,Pitch Black,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3301,3354,3.364788312,5,"Whole Nine Yards, The",2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,31,3.403225806,5,Black Tar Heroin: The Dark End of the Street,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
